,Acetic acid [g/L],Air feed [mL/min],Air off [mL/min],Biomass [g/L],CER [%/L/h],Cum. Acid feed [L/min],Cum. Base feed [L/min],DO2 [%],DO2 [%]- smoothed,DateTime,Ethanol [g/L],Feed total [L/min],Glucose [g/L],Glucose feed [L/min],Glucose feed [g/h],Glycerol [g/L],Lactic acid [g/L],OUR [%/L/h],Offgas CO2 [%],Offgas CO2 [g/L],Offgas CO2 [g/L]- smoothed,Offgas CO2 [g/min],Offgas CO2 [mL/min],Offgas N2 [%],Offgas N2 [mL/min],Offgas O2 [%],Offgas O2 [mL/min],Pump - Acid [L/min],Pump - Base [L/min],RQ,Stirrer [rpm],Stirring [rpm]- smoothed,T [°C]- smoothed,Temperature [°C],Volume [L],biomass original,pH Value (pH),time [h]
1254,,0.1,0.10079889144567089,,0.018211011509949686,0.07180833333333331,0.1376983333333334,29.6125,31.755336810037353,2023-06-01 07:09:00,,0.0008832724370557764,,0.000686,14.405999999999999,,,-0.019741085256431996,0.529140947212757,0.010459529103554568,0.010074767524721074,1.0543089386820322e-06,0.0005333682089755816,77.38180339219389,0.07799999999999999,20.64765093369932,0.020812603250740632,0.0,0.00034183333333333337,0.922492926472531,479.6583333333333,481.49637993582934,29.868912929955044,29.875833333333333,1.2875926585049995,,6.953333333333333,20.9
1255,,0.1,0.1007977987150533,,0.018248056959465103,0.07180833333333331,0.13786925000000005,32.458888888888886,31.825692017922506,2023-06-01 07:10:00,,0.0007133557703891099,,0.0006870000000000001,14.427000000000003,,,-0.019791869381751752,0.530880110079503,0.010493907135941534,0.010095724505282098,1.0577627392230963e-06,0.0005351154647761908,77.38264227426164,0.078,20.6454792586689,0.020810188626911155,0.0,0.00017091666666666668,0.9219976449667733,489.06545454545454,482.2532873967919,29.86927163695954,29.872500000000002,1.2883060142753886,,6.9511111111111115,20.92
1256,,0.1,0.1007993493568457,,0.018309865634986294,0.07180833333333331,0.13786925000000005,32.95333333333333,31.938456149463587,2023-06-01 07:11:00,,0.0005432724370557764,,0.0006878333333333333,14.444499999999998,,,-0.01986077744110163,0.5329900210018533,0.010535613745143635,0.010117718967275174,1.0619830105855189e-06,0.0005372504733067835,77.38145186222148,0.07800000000000001,20.643140394253585,0.020808151204227805,0.0,0.0,0.9219108209275966,489.1691666666666,482.94487532377934,29.86901113993025,29.866666666666664,1.2888492867124444,,6.96,20.93
1257,,0.1,0.10080136212210714,,0.018377631739139998,0.07180833333333331,0.13786925000000005,32.27875,31.972485534517226,2023-06-01 07:12:00,,0.000544189103722443,,0.0006887499999999999,14.463749999999997,,,-0.019949408295871447,0.5355012923279004,0.010585254045445608,0.010141095721183697,1.0670080261894622e-06,0.0005397925968480105,77.37990673728557,0.078,20.64000784832405,0.02080540905322046,0.0,0.0,0.9212118708775573,489.1975,483.5701377914014,29.868610025937226,29.865,1.289393475816167,,6.955555555555556,20.95
1258,,0.1,0.10080089639720331,,0.01839689207102411,0.07180833333333331,0.13838200000000006,30.89,31.8642369810655,2023-06-01 07:13:00,,0.0010577724370557763,,0.0006895833333333333,14.48125,,,-0.019895011640328628,0.5369040547853661,0.010612982450942329,0.010164690057671628,1.0697981445027746e-06,0.0005412041000165805,77.38026425146363,0.07800000000000001,20.64052290301117,0.02080583210730531,0.0,0.00051275,0.9246987337133435,488.94,484.1071240122613,29.86893084152532,29.87181818181818,1.2904512482532227,,6.95,20.97
1259,,0.1,0.10079909932324016,,0.01845072375995868,0.07180833333333331,0.13838200000000006,33.082499999999996,31.986063282958945,2023-06-01 07:14:00,,0.0005459391037224431,,0.0006905,14.5005,,,-0.01996518015901852,0.5388102098831494,0.010650661418760215,0.010188988625726059,1.0735770782078128e-06,0.0005431158386238746,77.38164380801801,0.078,20.638137771234664,0.020803056990493972,0.0,0.0,0.9241451172993428,485.32916666666665,484.2293282777018,29.867621090706123,29.855833333333333,1.290997187356945,,6.957777777777777,20.98
1260,,0.1,0.1007956924907405,,0.018457345548297636,0.07180833333333331,0.13838200000000006,31.416666666666668,31.929123621329715,2023-06-01 07:15:00,,0.0005468027400860794,,0.0006913636363636363,14.518636363636363,,,-0.02004436179717066,0.5396780725147947,0.010667816459399947,0.010212930017409754,1.075269947389337e-06,0.000543972250411968,77.3842592600526,0.078,20.635245416139984,0.020799438514362084,0.0,0.0,0.9208248052528648,481.7018181818182,483.9765772681135,29.86685898163551,29.86,1.2915439900970311,,6.96,21.0
1261,,0.1,0.10079791407738087,,0.018464183972899454,0.07180833333333331,0.13838200000000006,30.721249999999998,31.808336259196743,2023-06-01 07:16:00,,0.000547689103722443,,0.0006922499999999999,14.53725,,,-0.01998338004724181,0.5405530608142002,0.010685112353114293,0.010236539134194981,1.0770370368763753e-06,0.0005448662097821498,77.38255371050707,0.07800000000000001,20.63615314355385,0.020800811914516146,0.0,0.0,0.9239770213672115,484.85999999999996,484.0649195413021,29.86608217438105,29.85909090909091,1.2920916792007535,,6.956666666666667,21.02
1262,,0.1,0.10080180430251738,,0.01846021170718517,0.07180833333333331,0.13906575000000007,33.19777777777777,31.947280411054845,2023-06-01 07:17:00,,0.0012322724370557765,,0.0006930833333333333,14.554749999999999,,,-0.019896813444719677,0.5411620885137357,0.010697151003651015,0.010259569727667783,1.078292122064507e-06,0.0005455011494230318,77.37956730011832,0.07800000000000001,20.63773156750627,0.020803205787156522,0.0,0.0006837500000000001,0.9277973962249839,487.145,484.37292758717183,29.86489062360961,29.854166666666668,1.2933239516378094,,6.9511111111111115,21.03
1263,,0.1,0.10080033863475757,,0.018447670231788872,0.07180833333333331,0.13906575000000007,32.074444444444445,31.959996814393804,2023-06-01 07:18:00,,0.0005494391037224432,,0.0006940000000000001,14.574000000000002,,,-0.019926108923042085,0.5415115142753031,0.010704058102679914,0.01028179414641839,1.078972681516256e-06,0.0005458454401357091,77.38069242269822,0.078,20.636188893890576,0.02080134828634993,0.0,0.0,0.9258039441135655,481.43416666666667,484.07905149512135,29.863318227915315,29.849166666666665,1.2938733907415318,,6.96375,21.05
