,set,qs,Yxs,qs_max,Ks,Ki,m_s,lag,rmse
44,14,2,0.48985139091828467,0.1354597311115475,11.139468882714631,15.155994182401564,0.09859113200889776,0.5239913341678151,9.477
26,8,2,0.3140800303023316,0.3068642805839569,15.91887861491275,10.377832926127482,0.034021521730238605,0.8703446960057991,9.558
290,96,2,0.44814483350875023,0.12270662928476866,7.134158705235622,13.885452447440311,0.030045716394233198,0.5795822072907397,9.706
206,68,2,0.4158630034120033,0.10776769340136194,3.609441978650985,12.56297343081628,0.04676748170913606,0.937984870259869,9.735
191,63,2,0.3577349989440099,0.578289628974571,6.437815745469785,12.410656504934801,0.06768187761171128,0.029420721524797862,10.232
163,54,1,0.42308044014291135,0.48116571951105946,12.632274161571395,10.476688925743158,0.1512806237685041,0.3505951551984328,10.275
162,54,0,0.42308044014291135,0.48116571951105946,12.632274161571395,10.476688925743158,0.1512806237685041,0.3505951551984328,10.349
233,77,2,0.3369693258324529,0.9739887128603246,13.059358837893615,3.6185787136060914,0.008918572734744116,0.062438263388580814,11.245
91,30,1,0.4139207199662738,0.4975417894933073,11.025827355168163,19.29149740575026,0.0594628634534931,0.20839343128235,11.47
90,30,0,0.4139207199662738,0.4975417894933073,11.025827355168163,19.29149740575026,0.0594628634534931,0.20839343128235,11.528
263,87,2,0.34318378050204024,1.1084408757866575,11.890060659829786,5.023050294009481,0.14336231564001647,0.10578176247720829,11.871
83,27,2,0.4169685215835065,0.8019228860624071,9.732366418617133,11.267903213089234,0.19543831640041393,0.08768146802101615,12.236
275,91,2,0.37066303319271976,1.2593763809802172,4.839370018459479,9.816306285235255,0.18376504584442183,0.16036240979022906,12.431
106,35,1,0.42089790278792805,0.524094616332147,12.207865566947964,14.644277672416054,0.05096231683689646,0.6555009346823006,12.751
105,35,0,0.42089790278792805,0.524094616332147,12.207865566947964,14.644277672416054,0.05096231683689646,0.6555009346823006,12.861
85,28,1,0.3267229858481492,0.7407013354162044,18.44569967440379,9.010764718850895,0.10821006673114802,0.5133835998932696,12.948
84,28,0,0.3267229858481492,0.7407013354162044,18.44569967440379,9.010764718850895,0.10821006673114802,0.5133835998932696,13.17
279,93,0,0.33104247475121484,0.6945864429420981,14.176611328725338,0.2003628354007866,0.05238133053934804,0.9627234868269405,13.923
97,32,1,0.46729719456109314,0.5383062323227327,16.59548699917009,3.1740839717976166,0.014264690928323553,0.819305371203677,14.004
96,32,0,0.46729719456109314,0.5383062323227327,16.59548699917009,3.1740839717976166,0.014264690928323553,0.819305371203677,14.57
286,95,1,0.4190538025268677,0.47228025172196575,5.8577705230812676,3.3201421310454333,0.07892762290941442,0.18175824100116686,15.096
285,95,0,0.4190538025268677,0.47228025172196575,5.8577705230812676,3.3201421310454333,0.07892762290941442,0.18175824100116686,15.875
238,79,1,0.4256698488874092,0.6504411683331706,19.799359998396966,17.168003967008516,0.001232197306327564,0.23883317431326703,16.52
237,79,0,0.4256698488874092,0.6504411683331706,19.799359998396966,17.168003967008516,0.001232197306327564,0.23883317431326703,16.724
101,33,2,0.4927631365183113,1.3396013686349184,8.860694344557215,18.90972455466319,0.07094834682307945,0.0918535034752921,16.865
283,94,1,0.3004163993770744,0.7297581957747833,10.244039243911962,11.196792352145902,0.14880342542866118,0.5663940044275043,17.392
282,94,0,0.3004163993770744,0.7297581957747833,10.244039243911962,11.196792352145902,0.14880342542866118,0.5663940044275043,17.721
190,63,1,0.3577349989440099,0.578289628974571,6.437815745469785,12.410656504934801,0.06768187761171128,0.029420721524797862,18.252
10,3,1,0.34118052641266594,0.785804434815872,17.786819251583093,4.43205587163223,0.16737451576966889,0.05620985041479547,18.585
189,63,0,0.3577349989440099,0.578289628974571,6.437815745469785,12.410656504934801,0.06768187761171128,0.029420721524797862,18.606
295,98,1,0.37378995288538974,0.677207924150533,14.732251450117046,17.84796801822102,0.19684588977415973,0.49693503662694655,18.79
294,98,0,0.37378995288538974,0.677207924150533,14.732251450117046,17.84796801822102,0.19684588977415973,0.49693503662694655,19.011
9,3,0,0.34118052641266594,0.785804434815872,17.786819251583093,4.43205587163223,0.16737451576966889,0.05620985041479547,19.542
130,43,1,0.40523438459499717,0.6707154278641725,15.255584606318113,7.270137292282039,0.18412677052454698,0.2290591933153546,21.994
129,43,0,0.40523438459499717,0.6707154278641725,15.255584606318113,7.270137292282039,0.18412677052454698,0.2290591933153546,22.748
211,70,1,0.41192525043077527,0.5607411341548759,7.842774206945875,6.001019042861068,0.1569015048172003,0.14127241276568436,22.826
210,70,0,0.41192525043077527,0.5607411341548759,7.842774206945875,6.001019042861068,0.1569015048172003,0.14127241276568436,23.797
187,62,1,0.3559552865968429,0.6128070930857633,5.907492032751043,13.441520859411488,0.09382742803071133,0.9587897341609245,24.624
186,62,0,0.3559552865968429,0.6128070930857633,5.907492032751043,13.441520859411488,0.09382742803071133,0.9587897341609245,25.199
121,40,1,0.30445428055619517,0.8813183279873881,13.245836515165308,7.6258631946477,0.1619645129687045,0.45210585551576965,27.363
120,40,0,0.30445428055619517,0.8813183279873881,13.245836515165308,7.6258631946477,0.1619645129687045,0.45210585551576965,28.494
133,44,1,0.48246876403825667,0.7024110427208154,18.334405372528913,10.776731286464845,0.10442704967998098,0.637846644839877,35.06
132,44,0,0.48246876403825667,0.7024110427208154,18.334405372528913,10.776731286464845,0.10442704967998098,0.637846644839877,36.06
79,26,1,0.3889135679616936,0.7443173869120872,11.567393140453357,17.79891792978627,0.04421262840720312,0.4627867667258937,36.063
78,26,0,0.3889135679616936,0.7443173869120872,11.567393140453357,17.79891792978627,0.04421262840720312,0.4627867667258937,36.81
67,22,1,0.334504209695945,0.7665761967972227,6.995410050293858,6.213324954879774,0.14091057842398344,0.7417859966705347,38.501
88,29,1,0.484244215370785,0.6270282120588266,11.686810579568766,15.667459695084663,0.15822382661925055,0.8938681577663101,39.438
259,86,1,0.33397626910912015,1.0339766246058475,16.90523225709369,4.798660086444319,0.02574567082934053,0.8395645110321613,39.892
87,29,0,0.484244215370785,0.6270282120588266,11.686810579568766,15.667459695084663,0.15822382661925055,0.8938681577663101,40.044
66,22,0,0.334504209695945,0.7665761967972227,6.995410050293858,6.213324954879774,0.14091057842398344,0.7417859966705347,40.257
258,86,0,0.33397626910912015,1.0339766246058475,16.90523225709369,4.798660086444319,0.02574567082934053,0.8395645110321613,41.978
232,77,1,0.3369693258324529,0.9739887128603246,13.059358837893615,3.6185787136060914,0.008918572734744116,0.062438263388580814,42.103
61,20,1,0.4603391071750561,0.41956786229212983,0.5747696554847692,13.37183352535877,0.1397249749374105,0.40591221788497456,43.525
151,50,1,0.3190034721779164,0.9076852133971433,8.832276096613935,5.511532140078705,0.14670560121568918,0.9931829927833109,43.535
60,20,0,0.4603391071750561,0.41956786229212983,0.5747696554847692,13.37183352535877,0.1397249749374105,0.40591221788497456,44.457
231,77,0,0.3369693258324529,0.9739887128603246,13.059358837893615,3.6185787136060914,0.008918572734744116,0.062438263388580814,44.76
150,50,0,0.3190034721779164,0.9076852133971433,8.832276096613935,5.511532140078705,0.14670560121568918,0.9931829927833109,44.877
