Date;Time;Temperature Output
May 30, 2023;7:01:46 PM;4,88
May 30, 2023;7:01:51 PM;4,91
May 30, 2023;7:02:02 PM;4,64
May 30, 2023;7:02:07 PM;4,81
May 30, 2023;7:02:17 PM;5,18
May 30, 2023;7:02:41 PM;4,35
May 30, 2023;7:02:46 PM;4,41
May 30, 2023;7:02:56 PM;4,17
May 30, 2023;7:03:01 PM;3,96
May 30, 2023;7:03:06 PM;4,09
May 30, 2023;7:03:21 PM;3,73
May 30, 2023;7:03:31 PM;3,80
May 30, 2023;7:03:41 PM;3,73
May 30, 2023;7:03:46 PM;3,84
May 30, 2023;7:03:51 PM;3,70
May 30, 2023;7:03:56 PM;3,12
May 30, 2023;7:04:06 PM;3,75
May 30, 2023;7:04:11 PM;2,93
May 30, 2023;7:04:22 PM;2,84
May 30, 2023;7:04:31 PM;3,32
May 30, 2023;7:04:36 PM;2,63
May 30, 2023;7:04:41 PM;3,20
May 30, 2023;7:05:06 PM;2,72
May 30, 2023;7:05:11 PM;2,64
May 30, 2023;7:05:16 PM;2,24
May 30, 2023;7:05:26 PM;2,46
May 30, 2023;7:05:36 PM;0,00
May 30, 2023;7:05:51 PM;0,00
May 30, 2023;7:06:16 PM;2,14
May 30, 2023;7:09:21 PM;-0,47
May 30, 2023;7:09:31 PM;0,00
May 30, 2023;7:09:52 PM;0,00
May 30, 2023;7:10:01 PM;-0,83
May 30, 2023;7:10:06 PM;0,00
May 30, 2023;7:10:36 PM;-1,09
May 30, 2023;7:10:41 PM;0,00
May 30, 2023;7:10:56 PM;-1,48
May 30, 2023;7:11:02 PM;0,00
May 30, 2023;7:11:46 PM;-2,03
May 30, 2023;7:11:56 PM;-2,10
May 30, 2023;7:12:01 PM;-2,31
May 30, 2023;7:12:16 PM;-2,12
May 30, 2023;7:12:22 PM;0,00
May 30, 2023;7:12:32 PM;0,00
May 30, 2023;7:12:42 PM;0,00
May 30, 2023;7:13:01 PM;-2,34
May 30, 2023;7:13:06 PM;-2,22
May 30, 2023;7:13:26 PM;-2,44
May 30, 2023;7:13:31 PM;-2,28
May 30, 2023;7:13:36 PM;-2,81
May 30, 2023;7:13:47 PM;-2,21
May 30, 2023;7:14:01 PM;-2,15
May 30, 2023;7:14:11 PM;-2,30
May 30, 2023;7:14:16 PM;-2,08
May 30, 2023;7:17:41 PM;0,46
May 30, 2023;7:17:47 PM;0,00
May 30, 2023;7:17:56 PM;0,78
May 30, 2023;7:18:47 PM;0,88
May 30, 2023;7:18:52 PM;1,51
May 30, 2023;7:18:57 PM;1,62
May 30, 2023;7:19:07 PM;1,80
May 30, 2023;7:19:12 PM;2,01
May 30, 2023;7:19:23 PM;2,42
May 30, 2023;7:19:32 PM;2,25
May 30, 2023;7:19:37 PM;2,27
May 30, 2023;7:19:42 PM;2,75
May 30, 2023;7:19:52 PM;2,59
May 30, 2023;7:19:57 PM;2,50
May 30, 2023;7:20:02 PM;2,57
May 30, 2023;7:20:12 PM;2,73
May 30, 2023;7:20:17 PM;2,77
May 30, 2023;7:20:28 PM;3,06
May 30, 2023;7:20:37 PM;3,24
May 30, 2023;7:20:42 PM;3,22
May 30, 2023;7:20:57 PM;2,94
May 30, 2023;7:21:02 PM;3,72
May 30, 2023;7:21:07 PM;3,20
May 30, 2023;7:21:12 PM;3,07
May 30, 2023;7:21:18 PM;3,30
May 30, 2023;7:21:27 PM;3,40
May 30, 2023;7:21:37 PM;3,78
May 30, 2023;7:21:47 PM;3,65
May 30, 2023;7:22:02 PM;3,69
May 30, 2023;7:22:07 PM;3,72
May 30, 2023;7:22:17 PM;3,52
May 30, 2023;7:22:28 PM;3,84
May 30, 2023;7:22:37 PM;3,73
May 30, 2023;7:22:42 PM;3,77
May 30, 2023;7:22:47 PM;3,76
May 30, 2023;7:22:52 PM;4,21
May 30, 2023;7:23:07 PM;4,12
May 30, 2023;7:23:12 PM;3,72
May 30, 2023;7:23:17 PM;3,61
May 30, 2023;7:23:27 PM;4,09
May 30, 2023;7:23:37 PM;4,03
May 30, 2023;7:23:47 PM;3,63
May 30, 2023;7:23:57 PM;3,91
May 30, 2023;7:24:02 PM;3,51
May 30, 2023;7:24:12 PM;4,21
May 30, 2023;7:24:22 PM;3,70
May 30, 2023;7:24:27 PM;3,60
May 30, 2023;7:24:42 PM;3,50
May 30, 2023;7:24:53 PM;4,03
May 30, 2023;7:25:02 PM;4,03
May 30, 2023;7:25:07 PM;3,82
May 30, 2023;7:25:12 PM;3,84
May 30, 2023;7:25:22 PM;3,84
May 30, 2023;7:25:32 PM;3,81
May 30, 2023;7:25:42 PM;4,05
May 30, 2023;7:25:47 PM;3,51
May 30, 2023;7:25:52 PM;3,76
May 30, 2023;7:26:03 PM;3,02
May 30, 2023;7:26:12 PM;3,75
May 30, 2023;7:26:22 PM;3,58
May 30, 2023;7:26:27 PM;3,54
May 30, 2023;7:26:37 PM;3,76
May 30, 2023;7:26:42 PM;3,63
May 30, 2023;7:26:47 PM;3,54
May 30, 2023;7:26:52 PM;3,63
May 30, 2023;7:27:02 PM;3,80
May 30, 2023;7:27:07 PM;3,55
May 30, 2023;7:27:17 PM;3,51
May 30, 2023;7:27:23 PM;3,33
May 30, 2023;7:27:33 PM;3,28
May 30, 2023;7:27:42 PM;3,34
May 30, 2023;7:27:57 PM;3,28
May 30, 2023;7:28:02 PM;3,33
May 30, 2023;7:28:07 PM;3,69
May 30, 2023;7:28:12 PM;3,58
May 30, 2023;7:28:17 PM;3,21
May 30, 2023;7:28:22 PM;3,04
May 30, 2023;7:28:32 PM;3,40
May 30, 2023;7:28:37 PM;2,92
May 30, 2023;7:28:42 PM;3,11
May 30, 2023;7:28:52 PM;2,60
May 30, 2023;7:28:57 PM;3,52
May 30, 2023;7:29:02 PM;2,78
May 30, 2023;7:29:07 PM;3,43
May 30, 2023;7:29:12 PM;3,04
May 30, 2023;7:29:27 PM;3,03
May 30, 2023;7:29:52 PM;2,59
May 30, 2023;7:30:02 PM;2,42
May 30, 2023;7:30:08 PM;2,50
May 30, 2023;7:30:22 PM;2,73
May 30, 2023;7:30:27 PM;2,60
May 30, 2023;7:30:32 PM;2,30
May 30, 2023;7:30:47 PM;2,18
May 30, 2023;7:30:57 PM;2,03
May 30, 2023;7:31:12 PM;2,05
May 30, 2023;7:31:22 PM;2,37
May 30, 2023;7:31:48 PM;2,14
May 30, 2023;7:33:02 PM;2,06
May 30, 2023;7:33:08 PM;0,00
May 30, 2023;7:35:03 PM;2,18
May 30, 2023;7:35:08 PM;0,00
May 30, 2023;7:38:52 PM;2,15
May 30, 2023;7:38:57 PM;0,00
May 30, 2023;7:40:27 PM;2,24
May 30, 2023;7:40:57 PM;2,10
May 30, 2023;7:41:07 PM;2,14
May 30, 2023;7:41:12 PM;2,57
May 30, 2023;7:41:17 PM;2,42
May 30, 2023;7:41:37 PM;0,00
May 30, 2023;7:41:47 PM;2,72
May 30, 2023;7:41:53 PM;2,27
May 30, 2023;7:42:07 PM;2,46
May 30, 2023;7:42:12 PM;2,50
May 30, 2023;7:42:22 PM;2,92
May 30, 2023;7:42:27 PM;2,25
May 30, 2023;7:42:42 PM;2,43
May 30, 2023;7:42:47 PM;2,47
May 30, 2023;7:42:57 PM;2,29
May 30, 2023;7:43:02 PM;2,98
May 30, 2023;7:43:07 PM;3,22
May 30, 2023;7:43:17 PM;2,58
May 30, 2023;7:43:27 PM;2,78
May 30, 2023;7:43:37 PM;2,81
May 30, 2023;7:43:47 PM;2,95
May 30, 2023;7:43:52 PM;3,16
May 30, 2023;7:43:57 PM;3,06
May 30, 2023;7:44:02 PM;2,43
May 30, 2023;7:44:07 PM;3,03
May 30, 2023;7:44:12 PM;3,11
May 30, 2023;7:44:17 PM;2,50
May 30, 2023;7:44:22 PM;3,34
May 30, 2023;7:44:32 PM;3,52
May 30, 2023;7:44:37 PM;2,57
May 30, 2023;7:44:42 PM;2,88
May 30, 2023;7:44:52 PM;3,29
May 30, 2023;7:44:57 PM;2,45
May 30, 2023;7:45:07 PM;3,42
May 30, 2023;7:45:12 PM;3,07
May 30, 2023;7:45:22 PM;3,01
May 30, 2023;7:45:32 PM;2,64
May 30, 2023;7:45:37 PM;2,80
May 30, 2023;7:45:42 PM;3,60
May 30, 2023;7:45:52 PM;2,98
May 30, 2023;7:45:57 PM;3,69
May 30, 2023;7:46:07 PM;2,90
May 30, 2023;7:46:17 PM;2,97
May 30, 2023;7:46:22 PM;0,00
May 30, 2023;7:46:27 PM;3,33
May 30, 2023;7:46:42 PM;3,25
May 30, 2023;7:46:52 PM;2,67
May 30, 2023;7:46:58 PM;2,90
May 30, 2023;7:47:07 PM;2,93
May 30, 2023;7:47:12 PM;3,28
May 30, 2023;7:47:17 PM;2,58
May 30, 2023;7:47:27 PM;3,16
May 30, 2023;7:47:37 PM;3,29
May 30, 2023;7:47:52 PM;3,19
May 30, 2023;7:47:57 PM;2,94
